Índices con base 17-12-15=100,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Período,ITCRM ,ITCRB Brasil,ITCRB Canadá,ITCRB Chile,ITCRB Estados Unidos,ITCRB México,ITCRB Uruguay,ITCRB China,ITCRB India,ITCRB Japón,ITCRB Reino Unido,ITCRB Suiza,ITCRB Zona Euro,ITCRB Vietnam,ITCRB Sudamérica*
2021-04-12 00:00:00,116.11186807812237,97.00237992314712,137.22331474179322,128.95892078388587,124.88190336131478,119.47135293884779,115.02935937661371,125.30618536944746,123.20093356476578,127.85886613418567,112.8963548582418,122.47357993334191,131.51433427229034,128.87842290114142,113.66355336121558
2021-04-13 00:00:00,116.2368368385023,97.27670008002444,137.3084980453432,129.5291005591882,124.79725119094694,119.7979103775319,114.94596193165737,125.24366090968574,122.60363580087646,128.06388239934358,112.8269947562283,122.53121803100906,131.72931697599495,128.68255635762014,113.91725419029001
2021-04-14 00:00:00,116.22227639440096,97.03183158098922,137.36490543081842,129.46640025596272,124.72609230821574,119.71115666404793,114.97128817408627,125.38835105880786,122.90734445643946,128.0486080505566,113.08159276524432,122.19048010691981,132.0353028897379,128.53986542300518,113.82317333701275
2021-04-15 00:00:00,116.6719641055822,98.2623224068199,137.081806702662,130.80509940300283,124.65493771129836,120.46236068988404,115.01697287557793,125.39712534548504,123.18831808445954,128.25717717057736,113.02423743935718,122.18146103785394,131.8450900040198,128.45851184923566,114.6947982284669
2021-04-16 00:00:00,116.86463987979299,98.83377331240423,137.43842860753452,130.12959831160774,124.63750475216492,120.57879744806213,114.54597495208323,125.36004534752519,124.11603451508363,128.0263010151085,113.38451622114098,122.38447529686324,131.89903420929602,128.47706913863203,114.50311552536506
2021-04-17 00:00:00,116.71603301045678,98.71229056378718,137.2782199577375,129.97216742890947,124.49922726754382,120.43127996720494,114.41246419091526,125.16305326447062,123.97695703861646,127.81291919702284,113.25767755771298,122.22993469868547,131.74798413434138,128.30427630166656,114.36564072787064
2021-04-18 00:00:00,116.56761511189598,98.59095713718543,137.11819805928596,129.81492700620765,124.3611031931084,120.28394296092219,114.2791090451965,124.9663707368304,123.83803540457956,127.59989302305034,113.13098078355769,122.07558924614546,131.597107041132,128.13171585920315,114.2283310628632
2021-04-19 00:00:00,116.84975836726576,98.83096145918965,136.78168577993085,130.2519384058916,124.37036374061701,120.78584596202175,114.28119421336474,125.11551034474408,122.9776083596803,128.35222117704345,114.38181900034738,122.79967258891494,132.272569696471,128.10549074755832,114.45469802614866
2021-04-20 00:00:00,116.98854013576397,99.34458050194449,135.95844532912986,131.05510347787012,124.29923174034734,119.94418126121943,114.33849748283295,125.19380209819369,122.89355865009067,128.18346907250208,113.94742917721126,122.56325799704716,132.1043213215568,127.95764775541083,114.91272715421586
2021-04-21 00:00:00,116.74276109855998,98.65876707802349,137.18249661779336,130.99565081912542,124.24145948033488,120.2388473545991,114.42767860628969,125.24732445563197,122.83505394867579,128.07609497838808,113.86072866157363,122.32725431043973,132.0381946144269,127.86803294975346,114.69403216781286
